team,avg,team_ops,era
KIA,0.39059999999999995,1.0459999999999998,0.0
KT,0.45,1.1918333333333333,1.5575
LG,0.4088888888888889,1.137888888888889,0.0
NC,0.3398,0.9126,1.2750000000000001
SSG,0.452,1.3693333333333335,2.455
두산,0.4315,1.2195,1.27875
롯데,0.424,0.9858571428571429,0.54
삼성,0.29460000000000003,0.8128,0.7225
키움,0.36999999999999994,0.8403333333333333,0.3225
한화,0.414,1.2473333333333334,0.6925000000000001
