title,link
"'FA 0입' 롯데, 놀고만 있던 건 아니다 → 어차피 '이것' 안 되면 FA 와도 소용없다 - 조선일보",https://news.google.com/rss/articles/CBMigwFBVV95cUxQc3c0TTJhcDBOc193eXZ4Q0tOdEo2akZKcHY0aW5OdFk4aGR1ZEwxb0lIQjJqQjVDQVpDNUxuRVBNVkl0RktFY0xOQ3lILTZVdkJTVV83SWhXQWVid19Ra2Y1ZG1xeEp0c2E0dlpRWGMzblRTV29PR0VsNU5sVDA4Y1BHUdIBlwFBVV95cUxORUIyUXlsQ0xDc2ViM25YTVRyUWRaMW9CYnF2SE1lYV94dlJIVmZEdDBOTExESmtjbFlFZERWcE1PMmhCS05GZWxQQ0Y0Z3JWeG5MNk9RUHA4VWtCRkk0V1E4dWRaRzhidUpBOWdENjRlZUpFdGEyeXY4Ti1vVUk1VV8zd0ZpNWlTNEk2akExSUVBcm1pU0dr?oc=5
4번타자 한동희 이탈…시범경기 1위에도 머리 아픈 롯데 - v.daum.net,https://news.google.com/rss/articles/CBMiRkFVX3lxTE1kdnJxRkVDOXJiZFlvcWhXZ3RJdmRnWjVfZzA1U3FVb3FJNU9TdlNuNFNyWWMzWU1JWHhDbWFxMzU5SDVGTVE?oc=5
"`17안타`로 12-1 대승 거둔 롯데, 파죽지세로 시범경기 1위 달려 - 국제신문",https://news.google.com/rss/articles/CBMijgFBVV95cUxQTHd1SzRpZ1UzOHpOS0IwZmNwbzNUeEpmM3pya29BLVB3RDBIOXVCT1VSVW1LUzFWN3hLaTQxZmJXY0lLNUhsSkNGZml4am8yM3hBS09RZkVoY29UUE5GRHZGMnhqS0ZOY3V3R09qYjVQelNTT3dnb2NUMU1ZWXJlSU9QMkJISTVSSFJ4R19B?oc=5
"'롯데 자이언츠, 시범경기 무패 행진… 강력한 저력 과시' - 스페셜타임스",https://news.google.com/rss/articles/CBMic0FVX3lxTE1UYVhiRlhJU3pxdU1qOUhtYXk4QmxRTWJ5M0ZseWUybUxjb2pZWkhzYVkzemtSWHVWV1otbGpROUZ2U0VIcXFKendIWmJ1Um5fV01EZFBzY3N3WXdudUdtS3d5SnMzUHN5Qnp0dEZiaGs3c2M?oc=5
"롯데 자이언츠, 키움 꺾고 무패 행진...통산 12번째 시범경기 1위 해낼까 - 일간스포츠",https://news.google.com/rss/articles/CBMiW0FVX3lxTE1TQ1FNNXo3MXdseEFnM0JCSGFOR0JXODE4MDZXMW8wNU8teHNmQ01VbHdJUkNTNF84NzdUbkhpbWsxRFBHSWJBb1VIUlNURnljTmNJbnNLLWVQRW8?oc=5
"'4인방 없어도 되네' 롯데 진짜 무섭다! 무려 파죽의 4연승 '단독 선두' 질주, 키움에 12-1 어떻게 대승 거뒀나 - mt.co.kr",https://news.google.com/rss/articles/CBMiakFVX3lxTE50MWlnQlVFbFl3dGlCUlBseDFsMW9RSGhSS2h5Q0Y4aUo4ZWRhM2s5bGVyNzBTdjRWTHBsc3l6TDF2dUFvaVNtQmF5SnJGZy13cWF4Qlc0VTYtNWJZREJwekVkWWFVdzdZaVE?oc=5
"봄에 강한 롯데, 시범경기 무패 행진…최형우 복귀 첫 안타 - 중앙일보",https://news.google.com/rss/articles/CBMiVkFVX3lxTE84TVZpU3ExaDFzd01KcUcwNlFiSGduLVphbGs0RkRoNGJ6RWZrc1poRVdNSVc4T1VMaGZJQkFVNm1PYmx5TndkUEdzZk8tNUlucHZPVXJ3?oc=5
"'심상치 않은 롯데의 봄' 시범경기 4연승, 10구단 중 유일 무패 행진 - 노컷뉴스",https://news.google.com/rss/articles/CBMiUkFVX3lxTE9HNmxkUVh0aFMzMzRrVHN2dUFRZjNGUXpaS0gwX1QzRF9LM000U1p5M29vS2E3Rl9nS1RCckpEeC1Ma19qRTJQUl9rdHVScUZWSVE?oc=5
"고승민 빠진 롯데 2루, 새 주인은 한태양...시범경기 맹타 행진 [IS 피플] - 일간스포츠",https://news.google.com/rss/articles/CBMiW0FVX3lxTE1jd1hiRFRESV9DYXRCa2ZyalYwNXhpZERMZlpyV2p5aGExV2pnRjBnRnpYS25QMDZMVW9ZWDRONWJRaWxUc2p3azByZUtvcGkzeDVoUzlSTFl0VUE?oc=5
"시범경기부터 달리는 롯데, 키움 대파하고 '파죽의 4연승+무패행진' - 네이트",https://news.google.com/rss/articles/CBMiXEFVX3lxTE1uUEFldkVkS3Z0YTZKZmlxLUJlbWpEendoNFhzblYtbmJIVFRTanl2Mm5xRGExWDVOSG9NQzRsSDE5bzlITzg0dlJ0U1lPdkVPQnZzNVJZU0l0RURi?oc=5
"얼마나 인상적이면, 명장이 이렇게 칭찬하나…롯데 3R 유격수 유망주, 눈도장 제대로 찍었다 - v.daum.net",https://news.google.com/rss/articles/CBMiT0FVX3lxTFBNUkhGOW1YR3pYcnBkMG1pOW1vMWRCSm1TTUVPb0JqRm5pcGdnZ0VMZVNTc2R4cHBjYXlfOWJqUFloOUEwLWtyOFBBc1NOMXM?oc=5
17안타 만개 '4G 폭풍 연승' 롯데의 봄바람이 뜨겁다...키움에 12-1 대승 - v.daum.net,https://news.google.com/rss/articles/CBMiT0FVX3lxTFBxTzlVVUQxLVRVQ3JXdF9Kd0tKTTdUWlJTSkZfU1psZHFCRjJxaUVhMDhtdjBoeUg1WmNFUVdodmo1aW0xSkh6by00RzRKSDA?oc=5
'롯데의 봄은 달랐다' 키움에 12-1 완승...17안타 타선 폭발로 시범경기 5연속 무패·단독 선두 - v.daum.net,https://news.google.com/rss/articles/CBMiRkFVX3lxTE8yTHdMbzFiZTBsZnpUeV9NYVRqcVk5dnhOSkZCMDZxU0stTTZKb1FlVzJQMkRveTlwMkNycXlETV9vdHA1bXc?oc=5
"‘160km’ 확 달라진 롯데 파이어볼러, 세이브 1위다. 왜 “매일매일 불안감을 안고 던진다” 했을까 - v.daum.net",https://news.google.com/rss/articles/CBMiRkFVX3lxTE1teVdTWXA0UDhnMjJhaGRmeHRuaTFyMzVIQUx0cHNzR1lyNW5RMTBwTEVhM19XNzRhRFV5UlpCbXMxSmVVZWc?oc=5
"롯데 외인 트리오, 시범경기 나란히 150㎞대 속구 과시…선발진 구성 윤곽 잡힌다 - v.daum.net",https://news.google.com/rss/articles/CBMiRkFVX3lxTE92MHUxTTR2dElua0ZPRkNfRVlKZzNPd2plaWJNd3I1a1BXbUJvaklfckxIdTJ4aEhJZmZ2OUo4OWpoNkNST2c?oc=5
"한동훈, 최동원 유니폼 입고 사직 경기 관람...일주일만 또 부산행 - v.daum.net",https://news.google.com/rss/articles/CBMiT0FVX3lxTE9DckNuQk0wR0lTRmoyVWo1YXhEU0dzanV2b2FDNkp6b3FhdjNRSzdGaG9HOWtIRGxBZklIbmM0eXhDejJ2RTV1cFFKa0hCX0k?oc=5
첫 시범경기 승리 장식한 롯데 자이언츠 [사진] - v.daum.net,https://news.google.com/rss/articles/CBMiVEFVX3lxTE52OGF2amxFZnp3S1lobTd3aVlUeGVFSU5acUk0eGh5NExUTGJ4QTdiSnpyd2ljeHFaX2tweVJvYV81YnljZXV0Q2RiMEI0NTEyTlUtZg?oc=5
