date,title,link
2026-03-08,"""롯데도 우리처럼 조화로운 시즌 보내길"" 재미+의미 모두 잡은 캠프 특별중계…'찐팬' 한준희-'캡틴' 조성환 소감 어땠나 [롯데 캠프] - 네이트",https://news.google.com/rss/articles/CBMiVkFVX3lxTE90VmVodEUxcU9JcVNkOElUbXBEaTFvOUZOczZCVEVUX1QtVzVNLUZ0ZnFzQ1phOVZVSEUwb2NudVdoUTJNbXVOTVpCSzhJQjg3Z04ySTNB?oc=5
2026-02-13,대만 도박장 출입에 성추행 의혹까지…롯데 자이언츠 '날벼락' - 중앙일보,https://news.google.com/rss/articles/CBMiVkFVX3lxTE9fcGlQU2MydjNxSENsNFNOU01RTzJlSkZvajR6aUJONXlJTjFQeDNfY29KSzA1VjNUZGpMRlRZWjZSTG1yTC11c3lqY05MWXpKc0w1SlVB?oc=5
2026-02-13,"'구슬땀 흘린다더니' 롯데 자이언츠 선수 3명, 대만서 도박·성추행 논란 - 뉴스1",https://news.google.com/rss/articles/CBMiV0FVX3lxTFBiV3MwOXZFalpuc1QyV3V6VVFsMFZRZDRRUnhoeEtxOFI4S09QaDFZRW8tdHQ2a1RhTGhac2w3V0ZNRFFuNjM4WW11NVNkMEs3VUlMWElRYw?oc=5
2026-03-02,"일은 터졌고, 더 단단해진 롯데 자이언츠 - knn.co.kr",https://news.google.com/rss/articles/CBMiVEFVX3lxTE4yOVlaMWpYTmFvZ1RuWDRGRVlLM2pFdmd3b3I5XzlydUREOXd2clBVUm52VEQzY0NRZ2NNYUNSajBIT2tvWDBxd21uSDYzLUhjQURwYQ?oc=5
2026-02-27,롯데의 충격선택! 사장·단장이 책임 떠안기로 → 도박 4인방 추가징계 없다 - 조선일보,https://news.google.com/rss/articles/CBMigwFBVV95cUxPMXNYS1hLQUNtcXJZOUZlTzdvcC1BRTcya3lWbjRmWXR3X3NfOEVZVHV5NldneDh4aEMzamR5Zm0wSVE5UWpVaVFleVJ2Zk1xY2xjZkhqTUVnZjR6NlJPQ2hBMVVJVFgxTVhYY3ZlYzkzVEZNN1hVX1kwN1BNc2NKc2xRb9IBlwFBVV95cUxNcFUteDlpVkhQYWlmYldFSTZqajhnZFFTNGRUS0RVaGhVQjkxdDJSM3RzTWpvX3R6eDFBQTRJZzh4OWFaOVZCYXFmandRbVhEN084VElpbE9PTHVuU3pGSlhTZURYRHFuUUVTZHZwSUhMVXg3M01zY00zZmFRWGpIYUVMNTdPZFBsRjAzX2x6RlkyNHdJS01F?oc=5
2026-02-03,7500만원→1억1000만원 수직상승! 롯데 초대형 트레이드 주인공의 ‘따뜻한 겨울’은 아직이다 - v.daum.net,https://news.google.com/rss/articles/CBMiT0FVX3lxTE9RS09ac1VrVy1VUnNNZWFhbFU0bEVoeVhRS1FsVUlCZS1md3Mxd3h3LWVTazYzUjVBV2NBaGJhNUNVS1lsN2JveTMtN1VrSVU?oc=5
2026-02-24,"‘롯데↔두산’ 초대형 트레이드, 왜 올해는 두산 대박 점쳐지나…'생애 첫' 선두타자 초구 홈런 비결 공개 “이진영 코치님 지도 덕분” - 조선일보",https://news.google.com/rss/articles/CBMigwFBVV95cUxOb3ZWSGw0X3A4dDEtRE5rbWI5T2ZfenpLTUxOeGI3cG1SZzZCUGk1bkt4em1qZmNRdUtYa0FiQ0VrOEtmV2pLanJka1VKVHVWQVlXeEY0S19VamgwNHZvWmpEc05MOGFydTJtVmRpUmNpRlRjVXduTmk0dW5mTFc2U3BCONIBlwFBVV95cUxQVl9IU0Rnd2VWdXRQU1JqNEp0NjZWNlpYTG4wanI0WTFMY2JtUmJOMzBLaHFvUEJGZk55OU1NT0hUZ29LRHd1UkphN2xBOC1MYXdrcTVhWC1QbWlMaFZYMEtKazJLc2txc1RVdExNR2V6NDdYemlNbFFFVXRCUlJaZUo0MUVLZVFXcXRWN2F4YjJVWFBvVXR3?oc=5
2026-02-24,"LG 1차 출신 아픈손가락, 2G 연속 쾌투…롯데에서 꽃 피울 수 있을까 ""좋은 모습 보여드릴게요"" - v.daum.net",https://news.google.com/rss/articles/CBMiT0FVX3lxTE5wcXU4RnNQSXdzRG9xb3ZuN2NsWHg2WG5zMmE2bTZXNDRpQVdPcXNGU211UFNvVWJfRlhaWERBZ3pFRlRHeDVZaW9lYkhaOWs?oc=5
2026-02-27,"[일문일답] 박준혁 롯데 단장, 왜 총알받이 자처했나. 직접 답했다 → ""감정적 징계는 배제했다"" - 조선일보",https://news.google.com/rss/articles/CBMigwFBVV95cUxNQVRzNzFONEVrN2M4Y3JCcFRRN1I3emJ5ZC0yb1A5X2ttZHlnbU9rbUZwNjA3azZ2OUg3elVOeTM4clpHVW9TeS1OOXZZMXJ6bFlHc281RWp3bS1MbG1OcFlWU201N3F5VF9uMm55bkJtZk9qdmJXdjQxc29QVVVfZ09QTdIBlwFBVV95cUxPQTFveHFWTlhaTUhPZnhCcUt0ODNLYUVXSklYTXNQSTNCaElmdXoxVTZyZm42MnFwVGxMQjJjS1RFeWllZ0V3UjlsQnM5aHVPbzRXRWg2bmlXUi1wbUpwbmM0T0FnS09sZXgyNXJnLTA4cmxKWE1rQU11WWkyT19PRWlfdHNRcDdPVGtXaHVHN2R3X2VnOUJ3?oc=5
2026-02-03,"""롯데에서 같이하자"" 재계약도 안했건만, 14억 에이스 스카우트까지…'팀 퍼스트' 안타왕의 찐사랑, 가늠하기 힘들다 - v.daum.net",https://news.google.com/rss/articles/CBMiT0FVX3lxTE9HWnBrNElCMXNLMkRUY1dmcmswTFhxN3hDMC1HZjlrYW8tUVJJbkpGWlZOQzZHTzIzSkpnaElLUFVZamRkRkhOZHhvWnVZanc?oc=5
2026-02-20,"‘롯데→두산’ 초대형 트레이드, 다시 대박 예감…선두타자 초구 홈런 실화냐, “야구인생 처음, 작년보다 컨디션 좋아” - 조선일보",https://news.google.com/rss/articles/CBMigwFBVV95cUxNdmUtU25mVGhWN29SS1NNazlrRWVxVDh3X29NbmthRzJFbWFjOXVOTDA0TXEyQU96TUJhZTByMXY1OG9mNi1KZUd0V0hYMGZmb3JOazJTMjY3OFVGVTYtYkZKa092MkhVQy1Ncmd2endVOUQ3UG5sVHZWS1dJQ1dkZjFCVdIBlwFBVV95cUxObHpaM0JjSExGYVluYzhtRUFBMUNybGVVMWdRUlh2SHlCOVVzOWt5amhLbTdyT2hqeDl1OXdiTFpHaGcyOEFkSDE5UnNmNTZkc0lDdmxxUVZzQklKVHNaclNxLTNIRTEtZXkzTjNDTjEzejJsMDhydTY1WUhlbldUZTlHLVhnT2lJczc3QzN3cTNFTU9OQ0I4?oc=5
2026-02-24,"평균 154㎞ 쾅…필승조 후보 오른 롯데 윤성빈, 캠프서 무력시위 - v.daum.net",https://news.google.com/rss/articles/CBMiT0FVX3lxTE0tMFczOUtFWm1nVHVJeFMwM05mdTRnR0oyenlHYnp1Um9QcmFxVUVtZGctbHMzMThCVkJDNEtOY1p0QXMwa1ZDQlFrazVQNmc?oc=5
